SOLIDWORKS
MATLAB R2013A
MPLAB IDE
PROTEUS 8 PROFESSIONAL
AUTOCAD
ORCADPSPICE
PSIM
MS OFFICE
REQUIREMENT ANALYSIS
PCB SOLDERING
TEST AND DEBUGGING
VHDL
C
Xilinx
MATLAB
Tina Pro
Pspice
Orcade
Lab view
PLC  SCADA
Keil uVision3
OptiGrating
MULTISIM
Lassi
OriginPro.v8.0
Ms Office
ETAP
Microwind
HDL
Verilog
FPGA
Xilinx
Spartan 3E
Xilinx Systemgenerator
AlteraDsp Builder
Windows
Linux
C
MATLAB
FEKO-Antenna design tool
ASIC TOOL
CadenceVirtuoso
RTL Design Compiler
Encounter layout
Website development
PHP
HTML
jQuery
C++
Android programming
Photoshop
MS Office
load flow studies
economic operation of plants
power systems
Mat lab
Mentor graphics
GE PLC
Ms office
Microprocessors
microcontollers
Power electronics
digital electronics
Leadership
selfconfidence
optimism
hard working
commitment
adaptability
goal oriented
teamwork
C
JAVA
ASSEMBLY LANGUAGE
Microprocessor
controller
8051
80196
MPC852
8086
8085
Simulation Tools
HFSS
CFDTD
P-Spice
PhytonKC196
Protel
Orcad
ModelSim
Loopterm
LT-Spice
Xilinx ISE8.1
Microwind
ADS tool
Xilinx System Generator
Altium
Eagle
MULTISIM
MATLAB
LabVIEW
PSIM
dSPACE Control desk
MS Office
Arduino IDE
CCStudio
Windows
Ubuntu
Controllers
FPGA Controller
Spartan-3E
Spartan-3A
DSP Controller
TMS320F2812
dSPACE
Analog Controllers
Arduino MCUs
Arduino Due
Arduino Mega
Arduino Uno
TI Piccolo lunch Pad
Capacitor Clamped Boost Inverter
Multi-Level Inverter
DC-DC Converter
Linuxc++
sql
HTML
javascript
cadd
rivet
archieture
ms excel
epanet
spss
vb.net
oracle
unix
Visual Basic 6.0
ms access
microsoft sql server 2000
outlook
windows 98
windows 2000
window nt
windows xp
Multistep organic synthesis
Asymmetric  synthesis
Resolution Techniques 
Asymmetric catalysis
polymers
nano materials
CLRP methods
organic molecules and polymers
NMR
UV-Vis
FT-IR TGA
DSC
MALDI-TOF-MS
ESI-MS
Mass spectrometry
FT-NMR  Spectrometer
UV-VisSpectrophotometer
FTIR
Spectrofluorimeter
Gel Permeation Chromatography
Atomic Force Microscopy
PARK Systems X-100
Cyclic  Voltammetry
CH  Instruments
Thermogravimetric Analyzer
MS Office
Adobe Photoshop
Chem Draw 12
Origin 8.0
Endnote
Math Type 6
Smart Draw 7
Sci-Finder
Corel Draw
Ubuntu
linex
Windows 2000
Windows XP
Windows 7
windows 8
Advanced excel
Weka
D3.js
Dimple D3.js
PRPC V6.2
PRPC V7.1
APACHE TOMCAT
j2ee
asp.net
ado.net
vb
deployment
msdos
fedora
xml
word press
Hypermesh
Lab view
Creo
AnsysCFD
Simulink
WinCC 7.0 SCADA
WinCC Flexible
TIA Portal v11
PLC’s
S7-1200
S7-300
OPC
C
Proteus
NI-Labview
NI-Multisim
core java
good listener
Perl
uml
ruby on rails
ruby
dbms
computer graphics
data structures
networking
software engineering
image processing
data mining
selenium
crystal report 8
crystal report 8.5
sql server 2008
VHDL
C
JAVA
Assembly
MPC852
HFSS
CFDTD
P-SPICE
PHYTONKC196
PROTEL
ORCAD
MODELSIM
LOOPTERM
LT-SPICE
XILINX
ISE8.1
SIMULATOR
MICROWIND
ADS
